FEATURE_OR_CONDITION,DEFINED_IN_FILE,DEFINED_AT_LINE,CALCULATED,USED_BY_MODEL,USED_BY_SIMPLE_RULE,USED_AS_HARD_GATE,USED_AS_RANK,USED_ONLY_FOR_REPORT,MISSING_VALUE_POLICY,LANES_AFFECTED,TIME_ANCHOR
"DECAYED_OVERHANG_ABOVE_U","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1285-1307","YES","YES","YES","POSSIBLE","NO","NO","inventory invalid if history empty/bad; absent bins become zero; hard condition rejects NaN","L1-L3 L5-L6 when selected","through ATTACK_START_TIME"
"DECAYED_SUPPORT_BELOW_L","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1285-1307","YES","NO","INDIRECT","INDIRECT","NO","NO","absent bins become zero; denominator protected by epsilon","ratio-derived lanes","through ATTACK_START_TIME"
"OVERHANG_SUPPORT_RATIO","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1297-1309;2416-2443","YES","YES","YES","POSSIBLE","NO","NO","denominator max(support,1e-12); finite zero may result when all three region sums are zero; hard condition rejects NaN","L1-L3 L5-L6 when selected","through ATTACK_START_TIME"
"GAP_LVN_SCORE","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1297-1313","YES","NO","GENERATED_ONLY","POSSIBLE","NO","NO","NaN when local mean division invalid; generated hard condition rejects NaN","L1-L3 L5-L6 only if generated rule selects it","through ATTACK_START_TIME"
"ABOVE_U_LVN_SCORE","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1311-1313","YES","NO","GENERATED_ONLY","POSSIBLE","NO","NO","NaN when local mean division invalid; generated hard condition rejects NaN","L1-L3 L5-L6 only if generated rule selects it","through ATTACK_START_TIME"
"POC_Z","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1314-1329","YES","NO","NO","NO","NO","YES","idxmax on zero-filled local density; first bin wins ties/all-zero","report/direct analysis","through ATTACK_START_TIME"
"POC_INSIDE_GAP","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1314-1316","YES","YES","NO","NO","NO","NO","boolean derived from POC bin; all-zero tie follows idxmax","model diagnostics only unless indirectly distilled from listed model features","through ATTACK_START_TIME"
"NEAREST_HVN_ABOVE_L_U","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1317-1323","YES","NO","NO","NO","NO","YES","NaN when no positive-density HVN","report/direct analysis","through ATTACK_START_TIME"
"VACUUM_SCORE","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1437-1455;2416-2443","YES","YES","YES","POSSIBLE","YES","NO","NaN unless all four components finite and at least 30 prior same-board attacks; hard condition rejects NaN; replay sort places NaN last","L1-L3 L5-L6 when selected; portfolio tie-break","attack start with strictly earlier attack-date calibration"
"CUM_TURNOVER_NEAR_L","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1330-1335","YES","YES","NO","NO","NO","NO","sum over bins -5 through +5 inclusive; inventory invalid path can omit field","model diagnostics/distillation input","through ATTACK_START_TIME"
"PRIOR_ATTACK_COUNT","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1205-1231;1427-1433","YES","YES","NO","NO","NO","NO","integer 0/1 from attack numbering","model diagnostics/distillation input; retry handled separately","attack start"
"NUMBER_OF_PRIOR_REJECTIONS","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1427-1433","YES","YES","NO","NO","NO","NO","set to attack_number-1","model diagnostics/distillation input","attack start"
"STOCK_MINUS_BOARD_RETURN_10D","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1362-1371;2562-2575","YES","YES","YES","POSSIBLE","NO","NO","NaN on insufficient stock/board window; hard condition rejects NaN","L2-L3 L5-L6 if RELATIVE_REPAIR/generated rule selected","sessions strictly before attack date"
"STOCK_MINUS_INDUSTRY_RETURN_10D","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1362-1371;2562-2575","YES","YES","YES","POSSIBLE","NO","NO","NaN on insufficient PIT-industry window; hard condition rejects NaN","L2-L3 L5-L6 if RELATIVE_REPAIR/generated rule selected","sessions strictly before attack date"
"BOARD_RETURN_20D","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1372-1375;2562-2575","YES","YES","YES","POSSIBLE","NO","NO","NaN unless exact 20 rows; hard condition rejects NaN","L2-L3 L5-L6 if SYSTEM_REPAIR/generated rule selected","sessions strictly before attack date"
"INDUSTRY_RETURN_20D","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1372-1375;2562-2575","YES","YES","YES","POSSIBLE","NO","NO","NaN unless exact 20 PIT-industry rows; hard condition rejects NaN","L2-L3 L5-L6 if SYSTEM_REPAIR/generated rule selected","sessions strictly before attack date"
"BREADTH_RECOVERY","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1376-1378;2562-2575","YES","YES","YES","POSSIBLE","NO","NO","NaN with insufficient prior market rows/gap-day row; hard condition rejects NaN","L2-L3 L5-L6 if BREADTH_REPAIR/generated rule selected","prior five sessions and gap day"
"HIGHER_LOW_SHARE_10D","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1379-1382;2562-2575","YES","YES","YES","POSSIBLE","NO","NO","NaN with fewer than 10 prior sessions; hard condition rejects NaN","L2-L3 L5-L6 if APPROACH_QUALITY/generated rule selected","sessions strictly before attack date"
"APPROACH_PATH_EFFICIENCY_10D","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1379-1382;2562-2575","YES","YES","YES","POSSIBLE","NO","NO","NaN with fewer than 10 prior sessions or zero divisor; hard condition rejects NaN","L2-L3 L5-L6 if APPROACH_QUALITY/generated rule selected","sessions strictly before attack date"
"NEW_LOWER_CLUSTER_SINCE_GAP","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1383-1384;2562-2575","YES","YES","YES","POSSIBLE","NO","NO","integer count from known frozen clusters","L2-L3 L5-L6 if NO_LOWER_CLUSTER/generated rule selected","known before attack start"
"GAP_AGE_SESSIONS","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1192-1195;1231;2843-2885","YES","YES","NO","YES","NO","NO","attack omitted when >90; CORE selector additionally <=60","all lanes","attack start"
"ACCEPTANCE_RATIO_L_5_15_30","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1497-1521","YES","YES","GENERATED_ONLY","POSSIBLE","NO","NO","computed on available trailing path; generated hard condition rejects NaN","L1-L3 L5-L6 only if generated rule selects it","completed decision bar"
"CURRENT_Z_MAX_Z_REJECTION_DEPTH","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1497-1515","YES","YES","NO","NO","NO","NO","computed on nonempty completed attack path","model diagnostics/distillation input","completed decision bar"
"FAILED_L_TEST_COUNT_RECLAIM_COUNT","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1510-1511","YES","YES","NO","NO","NO","NO","zero when no transition","model diagnostics/distillation input","completed decision bar"
"ATTACK_COST_RATIO","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1539-1552","YES","YES","GENERATED_ONLY","POSSIBLE","NO","NO","NaN when prior float or progress denominator unavailable; hard condition rejects NaN","L1-L3 L5-L6 only if generated rule selects it","completed decision bar"
"STOCK_MINUS_BOARD_INDUSTRY_INTRADAY","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1591-1655","YES","YES","NO","NO","NO","NO","NaN when same-clock context absent","model diagnostics/distillation input","completed decision bar"
"ENTRY Z0_Z25_Z50","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","126;1690-1733;3114-3148","YES","NO","NO","YES","NO","NO","no trigger/no legal entry recorded as non-entry","L3 L5 L6; L0-L2 L4 fixed Z0","completed trigger then next legal minute open"
"ACCEPTANCE CLOSE_HOLD_RETEST_RECLAIM","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","127;1472-1494;1690-1733","YES","NO","NO","YES","NO","NO","no qualifying completed close sequence means no entry","L3 L5 L6; L0-L2 L4 fixed CLOSE","completed trigger then next legal minute open"
"REMAINING_NET_TARGET_AT_ENTRY","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1717-1731;3063-3065;3114-3148","YES","YES","YES","YES","YES","NO","NaN cannot satisfy >= floor and sorts last","L3 L5 L6 target floor; portfolio tie-break via target/risk","executable entry open"
"STRUCTURAL_STOP_DISTANCE","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1717-1731","YES","YES","NO","NO","NO","NO","NaN when entry missing","model diagnostics/distillation input","executable entry open"
"TARGET_TO_RISK_RATIO","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1717-1731;3471-3474","YES","YES","NO","NO","YES","NO","safe division returns NaN; replay sorts NaN last","model diagnostics and portfolio collision tie-break","executable entry open"
"TREE_SINGLE_LEAF","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","2472-2525;2990-3014","YES","NO","YES","POSSIBLE","NO","NO","invalid when insufficient support/no favorable overhang leaf","L1-L3 L5-L6 if TRAIN selector chooses it","TRAIN-only inner folds"
"LGBM_DISTILLED_LEAF","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","2537-2552;2990-3014","YES","NO","YES","POSSIBLE","NO","NO","fit values median-imputed then zero; deployed distilled hard conditions reject NaN","L1-L3 L5-L6 if TRAIN selector chooses it","TRAIN-only inner folds"
"LIGHTGBM_CEILING_RAW_SCORE","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","2843-2930","YES","YES","NO","NO","NO","YES","LightGBM native missing treatment","no portfolio lane","TRAIN/outer-test diagnostic"
"ENVIRONMENT_NONE_OR_EXTENSION","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","2562-2583;3017-3046","YES","NO","YES","POSSIBLE","NO","NO","NONE has no conditions; other conditions fail closed on NaN","L2 L3 L5 L6","TRAIN-selected; feature clocks pre-attack"
"CURRENT_ATTACK_U","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","2013-2027;2123-2197","YES","NO","NO","YES","NO","NO","none if no legal sellable U hit before attack end","all trade lanes","strictly post-entry and no later than attack end"
"NO_PROGRESS_D3_D5","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","2051-2059;2101-2120","YES","NO","NO","POSSIBLE","NO","NO","no trigger if checkpoint/path missing","L4 L5 L6 when selected exit policy uses it","completed D3/D5 daily close"
"TIME_STOP_H5_H10_H20","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","129;2067-2088;2134-2146","YES","NO","NO","YES","NO","NO","delayed to next legal open if close not executable; unresolved when no legal path","all lanes according to selected/fixed horizon","completed horizon session"
"R1_ONE_RETRY","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","3188-3227;3330-3342","YES","NO","NO","YES","NO","NO","no ATTACK_2 if no independent post-end contact; overlapping first position blocks retry","L5 includes ATTACK_2 when selected; L6 is ATTACK_2 subset","after ATTACK_1 end and new contact"
"SIMPLE_RULE_SCORE","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","2401-2413;3049-3075;3471-3474","YES","NO","NO","NO","YES","NO","failed conditions reduce score; missing condition is false","portfolio collision order for selected lanes","known by entry"
"COLLAPSE_LEG_DURATION","none in V7 executable runner","N/A","NO","NO","NO","NO","NO","NO","not present as a V7 feature or gate","none","N/A"
"FORMATION_PERIOD_DISTRIBUTION_GATE","none in V7 executable runner","N/A","NO","NO","NO","NO","NO","NO","not present as a V7 admission gate","none","N/A"
"COMMON_MARKET_DECLINE_AT_FORMATION_GATE","none in V7 executable runner","N/A","NO","NO","NO","NO","NO","NO","market/industry repair features are later optional attack-state conditions, not a formation gate","none","N/A"
