name,family,kind,category,description
peak_track_age_chg_10,peak_age,continuous,recent_change,PIT-safe T minus T-10 change in peak_track_age.
peak_track_age_chg_20,peak_age,continuous,recent_change,PIT-safe T minus T-20 change in peak_track_age.
peak_track_mass_chg_5,peak_mass,continuous,recent_change,PIT-safe T minus T-5 change in peak_track_mass.
peak_track_mass_chg_10,peak_mass,continuous,recent_change,PIT-safe T minus T-10 change in peak_track_mass.
peak_track_mass_chg_20,peak_mass,continuous,recent_change,PIT-safe T minus T-20 change in peak_track_mass.
peak_track_prominence_chg_5,peak_prominence,continuous,recent_change,PIT-safe T minus T-5 change in peak_track_prominence.
peak_track_prominence_chg_10,peak_prominence,continuous,recent_change,PIT-safe T minus T-10 change in peak_track_prominence.
peak_track_prominence_chg_20,peak_prominence,continuous,recent_change,PIT-safe T minus T-20 change in peak_track_prominence.
peak_band_width_rel_price_chg_5,peak_shape,continuous,recent_change,PIT-safe T minus T-5 change in peak_band_width_rel_price.
peak_band_width_rel_price_chg_10,peak_shape,continuous,recent_change,PIT-safe T minus T-10 change in peak_band_width_rel_price.
peak_band_width_rel_price_chg_20,peak_shape,continuous,recent_change,PIT-safe T minus T-20 change in peak_band_width_rel_price.
peak_location_rel_price_chg_5,peak_shape,continuous,recent_change,PIT-safe T minus T-5 change in peak_location_rel_price.
peak_location_rel_price_chg_10,peak_shape,continuous,recent_change,PIT-safe T minus T-10 change in peak_location_rel_price.
peak_location_rel_price_chg_20,peak_shape,continuous,recent_change,PIT-safe T minus T-20 change in peak_location_rel_price.
base_presence_20_chg_5,base_persistence,continuous,recent_change,PIT-safe T minus T-5 change in base_presence_20.
base_presence_20_chg_10,base_persistence,continuous,recent_change,PIT-safe T minus T-10 change in base_presence_20.
base_presence_20_chg_20,base_persistence,continuous,recent_change,PIT-safe T minus T-20 change in base_presence_20.
concentration_20_chg_5,scalar_chip,continuous,recent_change,PIT-safe T minus T-5 change in concentration_20.
concentration_20_chg_10,scalar_chip,continuous,recent_change,PIT-safe T minus T-10 change in concentration_20.
concentration_20_chg_20,scalar_chip,continuous,recent_change,PIT-safe T minus T-20 change in concentration_20.
profit_ratio_chg_5,scalar_chip,continuous,recent_change,PIT-safe T minus T-5 change in profit_ratio.
profit_ratio_chg_10,scalar_chip,continuous,recent_change,PIT-safe T minus T-10 change in profit_ratio.
profit_ratio_chg_20,scalar_chip,continuous,recent_change,PIT-safe T minus T-20 change in profit_ratio.
average_cost_rel_price_chg_5,cost_anchors,continuous,recent_change,PIT-safe T minus T-5 change in average_cost_rel_price.
average_cost_rel_price_chg_10,cost_anchors,continuous,recent_change,PIT-safe T minus T-10 change in average_cost_rel_price.
average_cost_rel_price_chg_20,cost_anchors,continuous,recent_change,PIT-safe T minus T-20 change in average_cost_rel_price.
p10_rel_price_chg_5,cost_anchors,continuous,recent_change,PIT-safe T minus T-5 change in p10_rel_price.
p10_rel_price_chg_10,cost_anchors,continuous,recent_change,PIT-safe T minus T-10 change in p10_rel_price.
p10_rel_price_chg_20,cost_anchors,continuous,recent_change,PIT-safe T minus T-20 change in p10_rel_price.
p50_rel_price_chg_5,cost_anchors,continuous,recent_change,PIT-safe T minus T-5 change in p50_rel_price.
p50_rel_price_chg_10,cost_anchors,continuous,recent_change,PIT-safe T minus T-10 change in p50_rel_price.
p50_rel_price_chg_20,cost_anchors,continuous,recent_change,PIT-safe T minus T-20 change in p50_rel_price.
p90_rel_price_chg_5,cost_anchors,continuous,recent_change,PIT-safe T minus T-5 change in p90_rel_price.
p90_rel_price_chg_10,cost_anchors,continuous,recent_change,PIT-safe T minus T-10 change in p90_rel_price.
p90_rel_price_chg_20,cost_anchors,continuous,recent_change,PIT-safe T minus T-20 change in p90_rel_price.
