family_id,family_name,experiment_ids,original_hypothesis,expected_sign,observed_evidence,consistency,spread_decomposition,audit_classification,classification_reason,candidate_priority,candidate_label,next_anatomy,evidence_paths
F11_SAME_MONTH_SEASONALITY,Same-calendar-month return seasonality,ASHARE-DEFENSIVE-ALPHA-DISCOVERY-CYCLE-009,Strong return in the same calendar month one year earlier should recur.,positive,"The favored set had -1.841% excess (-2.073%/-1.682% by block), -1.250% absolute mean, -3.201% median, and +3.275 pp severe-loss disadvantage.",Adverse in both blocks and across mean/median/severe-loss diagnostics; yearly and opposite-leg anatomy were not reported.,AVOIDANCE_ONLY_PENDING_LEG_DECOMPOSITION,STABLE_ADVERSE_AVOIDANCE_CANDIDATE_NEEDS_ANATOMY,"A canonical externally motivated prior failed with a sizeable and chronologically repeated adverse long leg, but the negative leg was not studied directly.",HIGH,POST_HOC_HYPOTHESIS_GENERATED_FROM_CONSUMED_DEVELOPMENT_HISTORY,"Hold the same-month score and horizon fixed; report all coarse buckets, each leg versus the date baseline, year stability, and whether the result is high-score underperformance versus a true low-score long leg.",research/market_behavior_os_v2/reports/ASHARE-DEFENSIVE-ALPHA-DISCOVERY-CYCLE-009_report.md
F12_FIP_GOOD_NEWS,Frog-in-the-pan gradual good-news continuation,ASHARE-DEFENSIVE-ALPHA-DISCOVERY-CYCLE-009,Positive residual return accumulated through many small moves should continue.,positive,"The favored set had -0.786% excess (-0.173%/-1.334% by block), -0.630% absolute mean, -2.702% median, and +3.966 pp severe-loss disadvantage.","Adverse in both blocks and distribution diagnostics, with weaker early magnitude; bucket and year anatomy absent.",AVOIDANCE_ONLY_PENDING_LEG_DECOMPOSITION,STABLE_ADVERSE_AVOIDANCE_CANDIDATE_NEEDS_ANATOMY,"The expected continuation leg appears intrinsically poor, but evidence is weaker than the top three and remains an unconfirmed post-hoc avoidance question.",MEDIUM,POST_HOC_HYPOTHESIS_GENERATED_FROM_CONSUMED_DEVELOPMENT_HISTORY,Decompose the frozen information-discreteness score into coarse buckets and event baseline by block/year to determine whether gradual-good-news stocks are a stable avoidance leg.,research/market_behavior_os_v2/reports/ASHARE-DEFENSIVE-ALPHA-DISCOVERY-CYCLE-009_report.md
F13_OVERNIGHT_DAYTIME_AND_ATTENTION,Overnight/daytime tug-of-war and low-turnover attention,ASHARE-DEFENSIVE-ALPHA-DISCOVERY-CYCLE-009,Overnight/daytime disagreement and low attention should identify continuation quality.,positive,"Overnight/daytime was near zero full-sample but +0.522% early and -0.468% late. Low-turnover attention was +0.076% full, -0.011% early, and +0.153% late.",One reverses materially; the other is economically tiny.,NO_STABLE_OPPOSITE_LEG,CHRONOLOGICALLY_UNSTABLE,No stable material adverse structure survives the fixed blocks.,NONE,NONE,NONE,research/market_behavior_os_v2/reports/ASHARE-DEFENSIVE-ALPHA-DISCOVERY-CYCLE-009_report.md
F14_DOWNSIDE_UPSIDE_RESIDUAL_ASYMMETRY,Downside/upside residual-risk asymmetry,ASHARE-SKEW-BREAKDOWN-DISCOVERY-CYCLE-008,Favorable downside/upside residual asymmetry should identify better stock quality.,positive,"The favored set had -1.162% excess (-1.688%/-0.696% by block), -1.599% absolute mean, -2.427% median, and +7.801 pp severe-loss disadvantage.",Adverse in both blocks and broad distribution diagnostics; it overlaps the subsequently audited downside-resilience research domain.,AVOIDANCE_ONLY_WITH_FAMILY_OVERLAP,STABLE_ADVERSE_AVOIDANCE_CANDIDATE_NEEDS_ANATOMY,"The historical artifact contains adverse information, but follow-up priority is low because later downside-resilience work was fully audited and closed.",LOW,POST_HOC_HYPOTHESIS_GENERATED_FROM_CONSUMED_DEVELOPMENT_HISTORY,Only if the higher-priority candidates fail: establish whether the exact favored asymmetry leg is intrinsically adverse after reusing the existing coarse controls; do not reopen the broader downside-resilience family.,research/market_behavior_os_v2/reports/ASHARE-SKEW-BREAKDOWN-DISCOVERY-CYCLE-008_report.md
F15_RESIDUAL_SHARPE,Residual return-to-risk quality,ASHARE-SKEW-BREAKDOWN-DISCOVERY-CYCLE-008,Higher residual Sharpe should forecast superior payoff.,positive,"Excess was only +0.222% and severe-loss incidence was 9.25 pp worse, without a coherent return/risk improvement.",Small payoff and contradictory tail-risk evidence.,NO_RELIABLE_OPPOSITE_STRUCTURE,TRUE_NULL,Neither the expected direction nor an adverse inversion has a coherent economic case.,NONE,NONE,NONE,research/market_behavior_os_v2/reports/ASHARE-SKEW-BREAKDOWN-DISCOVERY-CYCLE-008_report.md
F16_CLOSE_LOCATION_AND_GAP_ABSORPTION,Close-location persistence and negative-gap absorption,ASHARE-SKEW-BREAKDOWN-DISCOVERY-CYCLE-008,Persistent strong closes or absorbed negative gaps should signal demand.,positive,Close-location persistence reversed from -0.671% early to +1.237% late; negative-gap absorption reversed from -0.476% early to +1.028% late.,Both exact mechanisms reverse across fixed blocks.,NO_STABLE_OPPOSITE_LEG,CHRONOLOGICALLY_UNSTABLE,The pooled results cannot support either direction without outcome-conditioned timing.,NONE,NONE,NONE,research/market_behavior_os_v2/reports/ASHARE-SKEW-BREAKDOWN-DISCOVERY-CYCLE-008_report.md
F17_OBJECTIVE_SUPPORT_RETEST,Objective breakout-level retest / support-quality long,ASHARE-SUPPORT-RECOVERY-CYCLE-007,Holding or retesting a pre-existing objective support level should forecast continuation.,positive,"Breakout-level retest had -1.031% excess (-0.768%/-1.244% by block), -1.279% mean, -1.999% median, and +11.062 pp severe-loss disadvantage. Other hold variants were weakly adverse or less bad.",The strongest exact retest definition is adverse in both blocks and distribution diagnostics; the wider support family was extensively closed.,AVOIDANCE_ONLY_PENDING_LEG_DECOMPOSITION,STABLE_ADVERSE_AVOIDANCE_CANDIDATE_NEEDS_ANATOMY,"The exact retest leg contains adverse evidence, but repeated support research and failed breakdown translations leave little decision headroom.",LOW,POST_HOC_HYPOTHESIS_GENERATED_FROM_CONSUMED_DEVELOPMENT_HISTORY,"Only if higher-value work fails: decompose the frozen breakout-retest event against the all-event baseline by year; do not test new levels, windows, or support definitions.",research/market_behavior_os_v2/reports/ASHARE-SUPPORT-RECOVERY-CYCLE-007_report.md
F18_STOCK_INTRADAY_DEMAND_ACCEPTANCE,Stock-level intraday demand/acceptance suite,ASHARE-INTRADAY-INDEP-CYCLE-004,"VWAP/closing acceptance, opening recovery, late demand, contraction, and relative intraday strength should forecast positive payoff.",positive,"Six related favored states had negative excess in both blocks: VWAP acceptance -0.218%, closing acceptance -0.418%, opening weakness recovery -0.287%, late-volume demand -0.463%, intraday-volatility contraction -0.282%, and relative intraday strength -0.277%. Severe-loss disadvantages ranged roughly +1.27 to +6.89 pp.","Repeated adverse signs across mechanisms, both blocks, and tail diagnostics; redundancy and leg decomposition remain unresolved.",AVOIDANCE_ONLY_PENDING_REDUNDANCY_AND_LEG_DECOMPOSITION,STABLE_ADVERSE_AVOIDANCE_CANDIDATE_NEEDS_ANATOMY,"The suite suggests a common adverse apparent-demand mechanism, but correlated descriptors and small individual returns make it secondary rather than a license for more minute-feature search.",MEDIUM,POST_HOC_HYPOTHESIS_GENERATED_FROM_CONSUMED_DEVELOPMENT_HISTORY,"Use only the frozen six descriptors to identify whether one common adverse leg drives the suite, then compare that leg with the event/date baseline by block/year; no new minute windows or composite optimization.",research/market_behavior_os_v2/reports/ASHARE-INTRADAY-INDEP-CYCLE-004_report.md
F19_CHIP_STRUCTURAL_PRIORS,Chip concentration / overhang-clearance / support-density priors,ASHARE-EXTERNAL-PRIOR-CYCLE-005,"Concentrated cost structure, cleared overhang, and dense support should forecast positive payoff.",positive,"Chip concentration, overhang clearance, and support density produced -1.023%, -1.955%, and -0.729% excess respectively, adverse in both blocks, with +5.757, +22.617, and +12.361 pp severe-loss disadvantages.","Three related definitions, both blocks, and severe-loss diagnostics agree; leg/baseline and coordinate-specific interpretation remain incomplete.",AVOIDANCE_ONLY_PENDING_LEG_DECOMPOSITION,STABLE_ADVERSE_AVOIDANCE_CANDIDATE_NEEDS_ANATOMY,"The adverse topology is material, but the family is secondary because the exact chip hypotheses were rejected and coordinate semantics constrain generalization.",MEDIUM,POST_HOC_HYPOTHESIS_GENERATED_FROM_CONSUMED_DEVELOPMENT_HISTORY,"Using the exact frozen chip scores only, separate intrinsically bad high-score legs from ordinary low-score controls and verify year stability; no new chip feature or threshold.",research/market_behavior_os_v2/reports/ASHARE-EXTERNAL-PRIOR-CYCLE-005_report.md
F20_BREAKOUT_DEMAND_VOLUME_FORMATION_RISK,Breakout/demand-volume failure and formation-depth tail risk,ASHARE-INDEP-FUNNEL-001;MKT-BREAKOUT-ECON-001;MKT-FORMDEPTH-ATTR-001;MKT-FORMDEPTH-PROP-001;MKT-FORMDEPTH-CLOSE-001;HAB-CHX-FORMDEPTH-001,Breakout and demand-volume strength should forecast positive continuation.,positive,The stock-level breakout screen was -2.710% with adverse direction in all six years; demand-volume shock was -0.840% and adverse in all six years. Later market-level formation-depth work explicitly attributed the resulting adverse topology to nonlocal tail-risk structure.,Strong stock-level year/block/distribution evidence plus later independent representation and attribution work.,ADVERSE_INFORMATION_ALREADY_MAPPED_AS_TAIL_RISK,STABLE_ADVERSE_ALREADY_USED,The adverse breakout information was not ignored: it was promoted into the market formation-depth/tail-risk research program rather than inverted into an unlicensed long strategy.,NONE,NONE,NONE,research/market_behavior_os_v2/reports/ASHARE-INDEP-FUNNEL-001_discovery.md;research/market_behavior_os_v2/reports/MKT-BREAKOUT-ECON-001_response.md;research/market_behavior_os_v2/reports/MKT-FORMDEPTH-ATTR-001_attribution.md;research/market_behavior_os_v2/reports/MKT-FORMDEPTH-PROP-001_topology.md
F21_INDUSTRY_ROTATION_TRANSLATION,Industry-rotation 3x5 translation,ASHARE-DIVERSIFIED-CYCLE-002,Recent industry leadership should persist into a tradable stock portfolio.,positive,"Full-period excess was -0.335%, but the fixed blocks were +0.478% and -1.039%.",Material sign reversal across blocks.,NO_STABLE_OPPOSITE_LEG,CHRONOLOGICALLY_UNSTABLE,The exact translation is closed and cannot support an inverse rotation rule.,NONE,NONE,NONE,research/market_behavior_os_v2/reports/ASHARE-DIVERSIFIED-CYCLE-002_report.md
F22_PRICE_VOLUME_AND_LIQUIDITY_RECOVERY,Price-volume disagreement and liquidity-recovery priors,ASHARE-DIVERSIFIED-CYCLE-002;ASHARE-INTRADAY-INDEP-CYCLE-004;ASHARE-PRICE-LIMIT-LIQUIDITY-CYCLE-014,Constructive price-volume disagreement or recovering liquidity should forecast continuation.,positive,"Across daily, intraday, and price-limit implementations the effects were small, less-bad, or reversed by development block; no one exact definition supplied a stable material opposite leg.",Definition and chronological instability dominate.,NO_STABLE_OPPOSITE_LEG,CHRONOLOGICALLY_UNSTABLE,The family is closed; aggregation across unlike liquidity definitions would manufacture a signal.,NONE,NONE,NONE,research/market_behavior_os_v2/reports/ASHARE-DIVERSIFIED-CYCLE-002_report.md;research/market_behavior_os_v2/reports/ASHARE-INTRADAY-INDEP-CYCLE-004_report.md;research/market_behavior_os_v2/reports/ASHARE-PRICE-LIMIT-LIQUIDITY-CYCLE-014_report.md
F23_DOWNSIDE_PARTICIPATION_VETO,Market downside-participation admission veto,HAB-CHX-DOWNREV-STRAT-001,High downside participation should identify dates to avoid.,adverse state,The executable admission-veto delta was -11.3 pp in the early block and +10.23 pp in the late block.,Large opposite signs across the two fixed blocks.,NO_STABLE_OPPOSITE_ACTION,CHRONOLOGICALLY_UNSTABLE,Neither the veto nor its inversion is supported without outcome-conditioned timing.,NONE,NONE,NONE,research/market_behavior_os_v2/reports/HAB-CHX-DOWNREV-STRAT-001_strategy_translation.md
F24_CANDIDATE_RANK_MODELS,Candidate information/rank-model translations,HAB-CHX-RANK-INFO-001;HAB-CHX-RANK-MODEL-001,Registered candidate features should create stable cross-sectional ranking headroom.,positive,"Information scans and bounded rank translations did not establish a stable, actionable ordering or gate.",No robust favorable or opposite family-level structure survived the compact model comparisons.,NO_RELIABLE_OPPOSITE_STRUCTURE,TRUE_NULL,A failed multivariate/ranking translation is not evidence for an inverted model.,NONE,NONE,NONE,research/market_behavior_os_v2/reports/HAB-CHX-RANK-INFO-001_information_scan.md;research/market_behavior_os_v2/reports/HAB-CHX-RANK-MODEL-001_selection_report.md
F25_QUIET_VWAP_EXECUTION,Quiet VWAP Acceptance executable translation,ASHARE-INTRADAY-INDEP-CYCLE-004;ASHARE-CA-REPLAY-003,Quiet VWAP acceptance may provide weak complementary stock-selection information.,positive,"The cheap screen was weakly positive, but the canonical replay remained blocked by the long-suspension execution limitation.",Information evidence exists; executable strategy economics were not scientifically completed.,EXECUTION_STAGE_INCOMPLETE,SCIENTIFICALLY_UNRESOLVED,"The correct status is unresolved executable translation, not null and not opposite-sign candidate.",NONE,NONE,NONE,research/market_behavior_os_v2/reports/ASHARE-INTRADAY-INDEP-CYCLE-004_report.md;research/market_behavior_os_v2/reports/ASHARE-CA-REPLAY-003_report.md
F26_CROSS_SECTIONAL_DISPERSION,Cross-sectional Dispersion science and rank translation,MKT-DISP-ECON-001;MKT-DISP-RANK-001;MKT-DISP-RANK-002;HAB-CHX-DISP-001,Dispersion may describe opportunity geometry and support a distinct Alpha translation.,unresolved,"Economic-state evidence exists, but rank materialization/retry stopped at the resource gate; no completed opposite-sign or strategy conclusion exists.",The outcome-bearing translation did not complete.,RESOURCE_BLOCKED,SCIENTIFICALLY_UNRESOLVED,SCIENTIFICALLY_UNRESOLVED_RESOURCE_BLOCKED; it must remain on the frozen research frontier rather than be relabeled null.,NONE,NONE,NONE,research/market_behavior_os_v2/reports/MKT-DISP-ECON-001_dispersion_opportunity.md;research/market_behavior_os_v2/reports/HAB-CHX-DISP-001_archaeology.md;research/market_behavior_os_v2/experiments/MKT-DISP-RANK-001_spec.json;research/market_behavior_os_v2/experiments/MKT-DISP-RANK-002_spec.json
F27_PIT_FUNDAMENTALS,PIT fundamental prior replication,ASHARE-FUNDAMENTAL-READINESS-CYCLE-006,Canonical value/quality/profitability/investment priors may transfer under PIT A-share semantics.,unresolved,No turnkey immutable-vintage PIT source with historical publication/restatement identity was available; no valid outcome experiment ran.,Stopped before outcome research.,DATA_BLOCKED,SCIENTIFICALLY_UNRESOLVED,"PIT_FUNDAMENTALS remains DATA_BLOCKED_PARKED, not a scientific null.",NONE,NONE,NONE,research/market_behavior_os_v2/reports/ASHARE-FUNDAMENTAL-READINESS-CYCLE-006_report.md
F28_CANONICAL_IDIOSYNCRATIC_VOLATILITY,Canonical factor-model idiosyncratic volatility,ASHARE-EVIDENCE-DEPTH-CYCLE-010,Canonical factor-residual IVOL should reproduce the low-risk prior.,positive for low IVOL,The exact canonical implementation was data-contract blocked; simpler proxy evidence must not substitute for it.,Stopped before faithful canonical outcome research.,DATA_BLOCKED,SCIENTIFICALLY_UNRESOLVED,The canonical prior remains scientifically unresolved even though proxy low-risk information is preserved separately.,NONE,NONE,NONE,research/market_behavior_os_v2/reports/ASHARE-EVIDENCE-DEPTH-CYCLE-010_report.md
